,xA,yA,zA,xC,yC,zC,A1,A2,A3,B,C1,C2,C3,rA1,rA2,rA3,rB,rC1,rC2,rC3,rA,rC,TF,OF
102,0.0,0.0,1.0,0.25,0.6,0.15,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.9585,1.0080510679230803,0.6076078631605821
103,0.0,0.0,1.0,0.25,0.65,0.1,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.9465000000000001,1.0092024568728135,0.611353711790393
104,0.0,0.0,1.0,0.25,0.7,0.05,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.9345,1.010362689904734,0.6151460325665546
105,0.0,0.0,1.0,0.3,0.0,0.7,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.083,0.9966035996375017,0.57129140662506
106,0.0,0.0,1.0,0.3,0.05,0.65,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.071,0.9976689053171741,0.5746016417189763
107,0.0,0.0,1.0,0.3,0.1,0.6,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.059,0.9987420802908793,0.5779504613890237
108,0.0,0.0,1.0,0.3,0.15,0.55,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.047,0.999823212076252,0.5813385442110405
109,0.0,0.0,1.0,0.3,0.2,0.5,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.035,1.000912389493516,0.5847665847665847
110,0.0,0.0,1.0,0.3,0.25,0.45,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.023,1.0020097026898072,0.588235294117647
111,0.0,0.0,1.0,0.3,0.3,0.4,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.011,1.0031152431640462,0.591745400298359
112,0.0,0.0,1.0,0.3,0.35,0.35,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.999,1.0042291037923716,0.5952976488244122
113,0.0,0.0,1.0,0.3,0.4,0.3,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.987,1.00535137885415,0.5988928032209361
