,rownum,A1,A2,A3,B,C1,C2,C3,xA,yA,zA,xC,yC,zC,Eg,Eg-type,rA1,rA2,rA3,rA,rB,rC1,rC2,rC3,rC,TF,OF,duplicated
110,111.0,Cs,MA,FA,Pb,Cl,Br,I,0.17,0.83,0.0,0.0,0.17,0.83,1.6,,1.67,2.16,2.53,2.0766999999999998,1.19,1.81,1.96,2.2,2.1592000000000002,0.8943131537167373,0.5511300481659873,0
111,112.0,Cs,MA,FA,Pb,Cl,Br,I,0.05,0.114,0.836,0.0,0.0,1.0,1.55,,1.67,2.16,2.53,2.44482,1.19,1.81,1.96,2.2,2.2,0.9688447549825662,0.5409090909090909,0
112,113.0,Cs,MA,FA,Pb,Cl,Br,I,0.05,0.1,0.85,0.0,0.03,0.97,1.55,,1.67,2.16,2.53,2.4499999999999997,1.19,1.81,1.96,2.2,2.1928,0.9704846173858644,0.5426851514045968,0
113,114.0,Cs,MA,FA,Pb,Cl,Br,I,0.05,0.1425,0.8075,0.0,0.15,0.85,1.62,,1.67,2.16,2.53,2.434275,1.19,1.81,1.96,2.2,2.164,0.9694309583364852,0.5499075785582255,0
114,115.0,Cs,MA,FA,Pb,Cl,Br,I,0.1,0.135,0.765,0.0,0.15,0.85,1.6,,1.67,2.16,2.53,2.39405,1.19,1.81,1.96,2.2,2.164,0.9609505259354032,0.5499075785582255,0
115,116.0,Cs,MA,FA,Pb,Cl,Br,I,0.05,0.14,0.81,0.0,0.15,0.85,1.55,,1.67,2.16,2.53,2.4352,1.19,1.81,1.96,2.2,2.164,0.9696259713873491,0.5499075785582255,0
116,117.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.05,0.95,0.0,0.05,0.95,1.51,,1.67,2.16,2.53,2.5115,1.19,1.81,1.96,2.2,2.1879999999999997,0.983732480220894,0.5438756855575869,0
117,118.0,Cs,MA,FA,Pb,Cl,Br,I,1.0,0.0,0.0,0.0,0.6,0.4,1.77,,1.67,2.16,2.53,1.67,1.19,1.81,1.96,2.2,2.056,0.8116697063157967,0.5787937743190661,0
118,119.0,Cs,MA,FA,Pb,Cl,Br,I,0.05,0.1615,0.7885,0.17,0.0,0.83,1.55,,1.67,2.16,2.53,2.4272449999999997,1.19,1.81,1.96,2.2,2.1337,0.9703267858467605,0.5577166424520785,0
119,120.0,Cs,MA,FA,Pb,Cl,Br,I,0.05,0.16,0.79,0.0,0.16,0.84,1.6,,1.67,2.16,2.53,2.4278,1.19,1.81,1.96,2.2,2.1616,0.9682527334937167,0.5505181347150259,0
120,121.0,Cs,MA,FA,Pb,Cl,Br,I,0.1,0.153,0.747,0.0,0.17,0.83,1.62,,1.67,2.16,2.53,2.38739,1.19,1.81,1.96,2.2,2.1592000000000002,0.959908222941283,0.5511300481659873,0
121,122.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,1.0,0.0,0.0,1.0,0.0,2.3,,1.67,2.16,2.53,2.16,1.19,1.81,1.96,2.2,1.96,0.9248507741233574,0.6071428571428571,0
122,123.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,1.0,0.0,0.333,0.667,0.0,2.5,,1.67,2.16,2.53,2.16,1.19,1.81,1.96,2.2,1.91005,0.9283592054219473,0.623020339781681,0
123,124.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,1.0,0.0,0.5,0.5,0.0,2.65,,1.67,2.16,2.53,2.16,1.19,1.81,1.96,2.2,1.885,0.930161603219377,0.6312997347480106,0
124,125.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,1.0,0.0,0.667,0.333,0.0,2.75,,1.67,2.16,2.53,2.16,1.19,1.81,1.96,2.2,1.85995,0.9319936081020546,0.6398021452189575,0
