Feature,A1,A2,A3,B,C1,C2,C3,xA,yA,zA,xC,yC,zC,bandgap eV,checking,bandgap (Sona),measured/calculated,crystal or device (multilayer film structure),AB-,Link
94,Cs,MA,FA,Pb,Cl,Br,I,,0.9000,0.1000,,0.10,0.90,1.5100,incorrect,1.5100,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
95,Cs,MA,FA,Pb,Cl,Br,I,,0.8000,0.2000,,0.20,0.80,1.5800,incorrect,1.5800,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
96,Cs,MA,FA,Pb,Cl,Br,I,,0.7000,0.3000,,0.30,0.70,1.6800,incorrect,1.6800,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
97,Cs,MA,FA,Pb,Cl,Br,I,,0.6000,0.4000,,0.40,0.60,1.7600,incorrect,1.7600,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
98,Cs,MA,FA,Pb,Cl,Br,I,,0.5000,0.5000,,0.50,0.50,1.7700,correct,TRUE,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
99,Cs,MA,FA,Pb,Cl,Br,I,,0.5000,0.5000,,0.50,0.50,1.8000,added data,,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
100,Cs,MA,FA,Pb,Cl,Br,I,,0.4000,0.6000,,0.60,0.40,1.9100,incorrect,1.9100,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
101,Cs,MA,FA,Pb,Cl,Br,I,,0.3000,0.7000,,0.70,0.30,1.9600,incorrect,1.9600,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
102,Cs,MA,FA,Pb,Cl,Br,I,,0.2000,0.8000,,0.80,0.20,2.0100,incorrect,2.0100,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
103,Cs,MA,FA,Pb,Cl,Br,I,,0.1000,0.9000,,0.90,0.10,2.0700,incorrect,2.0700,,polycrystalline 3D perovskites,"same journal, thesis",High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
